Company_Name	Industry	Symbol	Series	ISIN_Code
Indian_Hotels_Co._Ltd.	Consumer_Services	INDHOTEL	EQ	INE053A01029
Indian_Oil_Corporation_Ltd.	Oil_Gas_&_Consumable_Fuels	IOC	EQ	INE242A01010
Indian_Overseas_Bank	Financial_Services	IOB	EQ	INE565A01014
Indian_Railway_Catering_And_Tourism_Corporation_Ltd.	Consumer_Services	IRCTC	EQ	INE335Y01020
Indian_Railway_Finance_Corporation_Ltd.	Financial_Services	IRFC	EQ	INE053F01010
Indigo_Paints_Ltd.	Consumer_Durables	INDIGOPNTS	EQ	INE09VQ01012
Indraprastha_Gas_Ltd.	Oil_Gas_&_Consumable_Fuels	IGL	EQ	INE203G01027
Indus_Towers_Ltd.	Telecommunication	INDUSTOWER	EQ	INE121J01017
IndusInd_Bank_Ltd.	Financial_Services	INDUSINDBK	EQ	INE095A01012
Info_Edge_(India)_Ltd.	Consumer_Services	NAUKRI	EQ	INE663F01024
Infosys_Ltd.	Information_Technology	INFY	EQ	INE009A01021
Inox_Wind_Ltd.	Capital_Goods	INOXWIND	EQ	INE066P01011
Intellect_Design_Arena_Ltd.	Information_Technology	INTELLECT	EQ	INE306R01017
InterGlobe_Aviation_Ltd.	Services	INDIGO	EQ	INE646L01027
Ipca_Laboratories_Ltd.	Healthcare	IPCALAB	EQ	INE571A01038
J.B._Chemicals_&_Pharmaceuticals_Ltd.	Healthcare	JBCHEPHARM	EQ	INE572A01036
J.K._Cement_Ltd.	Construction_Materials	JKCEMENT	EQ	INE823G01014
JBM_Auto_Ltd.	Automobile_and_Auto_Components	JBMA	EQ	INE927D01044
JK_Lakshmi_Cement_Ltd.	Construction_Materials	JKLAKSHMI	EQ	INE786A01032
JK_Paper_Ltd.	Forest_Materials	JKPAPER	EQ	INE789E01012
JM_Financial_Ltd.	Financial_Services	JMFINANCIL	EQ	INE780C01023
JSW_Energy_Ltd.	Power	JSWENERGY	EQ	INE121E01018
JSW_Infrastructure_Ltd.	Services	JSWINFRA	EQ	INE880J01026
JSW_Steel_Ltd.	Metals_&_Mining	JSWSTEEL	EQ	INE019A01038
Jai_Balaji_Industries_Ltd.	Metals_&_Mining	JAIBALAJI	BE	INE091G01018
Jammu_&_Kashmir_Bank_Ltd.	Financial_Services	J&KBANK	EQ	INE168A01041
Jindal_Saw_Ltd.	Capital_Goods	JINDALSAW	EQ	INE324A01024
Jindal_Stainless_Ltd.	Metals_&_Mining	JSL	EQ	INE220G01021
Jindal_Steel_&_Power_Ltd.	Metals_&_Mining	JINDALSTEL	EQ	INE749A01030
Jio_Financial_Services_Ltd.	Financial_Services	JIOFIN	EQ	INE758E01017
Jubilant_Foodworks_Ltd.	Consumer_Services	JUBLFOOD	EQ	INE797F01020
Jubilant_Ingrevia_Ltd.	Chemicals	JUBLINGREA	EQ	INE0BY001018
Jubilant_Pharmova_Ltd.	Healthcare	JUBLPHARMA	EQ	INE700A01033
Jupiter_Wagons_Ltd.	Capital_Goods	JWL	EQ	INE209L01016
Justdial_Ltd.	Consumer_Services	JUSTDIAL	EQ	INE599M01018
Jyothy_Labs_Ltd.	Fast_Moving_Consumer_Goods	JYOTHYLAB	EQ	INE668F01031
K.P.R._Mill_Ltd.	Textiles	KPRMILL	EQ	INE930H01031
KEI_Industries_Ltd.	Capital_Goods	KEI	EQ	INE878B01027
KNR_Constructions_Ltd.	Construction	KNRCON	EQ	INE634I01029
KPIT_Technologies_Ltd.	Information_Technology	KPITTECH	EQ	INE04I401011
KRBL_Ltd.	Fast_Moving_Consumer_Goods	KRBL	EQ	INE001B01026
KSB_Ltd.	Capital_Goods	KSB	EQ	INE999A01023
Kajaria_Ceramics_Ltd.	Consumer_Durables	KAJARIACER	EQ	INE217B01036
Kalpataru_Projects_International_Ltd.	Construction	KPIL	EQ	INE220B01022
Kalyan_Jewellers_India_Ltd.	Consumer_Durables	KALYANKJIL	EQ	INE303R01014
Kansai_Nerolac_Paints_Ltd.	Consumer_Durables	KANSAINER	EQ	INE531A01024
Karur_Vysya_Bank_Ltd.	Financial_Services	KARURVYSYA	EQ	INE036D01028
Kaynes_Technology_India_Ltd.	Capital_Goods	KAYNES	EQ	INE918Z01012
Kec_International_Ltd.	Construction	KEC	EQ	INE389H01022
Kfin_Technologies_Ltd.	Financial_Services	KFINTECH	EQ	INE138Y01010
Kotak_Mahindra_Bank_Ltd.	Financial_Services	KOTAKBANK	EQ	INE237A01028
Krishna_Institute_of_Medical_Sciences_Ltd.	Healthcare	KIMS	EQ	INE967H01017
L&T_Finance_Ltd.	Financial_Services	LTF	EQ	INE498L01015
L&T_Technology_Services_Ltd.	Information_Technology	LTTS	EQ	INE010V01017
LIC_Housing_Finance_Ltd.	Financial_Services	LICHSGFIN	EQ	INE115A01026
LTIMindtree_Ltd.	Information_Technology	LTIM	EQ	INE214T01019
Larsen_&_Toubro_Ltd.	Construction	LT	EQ	INE018A01030
Latent_View_Analytics_Ltd.	Information_Technology	LATENTVIEW	EQ	INE0I7C01011
Laurus_Labs_Ltd.	Healthcare	LAURUSLABS	EQ	INE947Q01028
Laxmi_Organic_Industries_Ltd.	Chemicals	LXCHEM	EQ	INE576O01020
Lemon_Tree_Hotels_Ltd.	Consumer_Services	LEMONTREE	EQ	INE970X01018
Life_Insurance_Corporation_of_India	Financial_Services	LICI	EQ	INE0J1Y01017
Linde_India_Ltd.	Chemicals	LINDEINDIA	EQ	INE473A01011
Lloyds_Metals_And_Energy_Ltd.	Metals_&_Mining	LLOYDSME	EQ	INE281B01032
Lupin_Ltd.	Healthcare	LUPIN	EQ	INE326A01037
MMTC_Ltd.	Services	MMTC	EQ	INE123F01029
MRF_Ltd.	Automobile_and_Auto_Components	MRF	EQ	INE883A01011
MTAR_Technologies_Ltd.	Capital_Goods	MTARTECH	EQ	INE864I01014
Macrotech_Developers_Ltd.	Realty	LODHA	EQ	INE670K01029
Mahanagar_Gas_Ltd.	Oil_Gas_&_Consumable_Fuels	MGL	EQ	INE002S01010
Maharashtra_Seamless_Ltd.	Capital_Goods	MAHSEAMLES	EQ	INE271B01025
Mahindra_&_Mahindra_Financial_Services_Ltd.	Financial_Services	M&MFIN	EQ	INE774D01024
Mahindra_&_Mahindra_Ltd.	Automobile_and_Auto_Components	M&M	EQ	INE101A01026
Mahindra_Holidays_&_Resorts_India_Ltd.	Consumer_Services	MHRIL	EQ	INE998I01010
Mahindra_Lifespace_Developers_Ltd.	Realty	MAHLIFE	EQ	INE813A01018
Manappuram_Finance_Ltd.	Financial_Services	MANAPPURAM	EQ	INE522D01027
Mangalore_Refinery_&_Petrochemicals_Ltd.	Oil_Gas_&_Consumable_Fuels	MRPL	EQ	INE103A01014
Mankind_Pharma_Ltd.	Healthcare	MANKIND	EQ	INE634S01028
Marico_Ltd.	Fast_Moving_Consumer_Goods	MARICO	EQ	INE196A01026
Maruti_Suzuki_India_Ltd.	Automobile_and_Auto_Components	MARUTI	EQ	INE585B01010
Mastek_Ltd.	Information_Technology	MASTEK	EQ	INE759A01021
Max_Financial_Services_Ltd.	Financial_Services	MFSL	EQ	INE180A01020
Max_Healthcare_Institute_Ltd.	Healthcare	MAXHEALTH	EQ	INE027H01010
